,Route,Year,PointID,grouse1,grouse2,grouse3,elev,fc,doy.1,doy.2,doy.3
140,122,2021,122_3,0,0,0,1154.738845,50.62043796,70,91,115
141,122,2020,122_4,0,0,0,1141.167024,40.36764706,61,90,112
142,122,2021,122_4,0,0,0,1141.167024,40.36764706,70,91,115
143,122,2020,122_5,0,0,0,1121.880083,74.08088235,61,90,112
144,122,2021,122_5,0,0,0,1121.880083,74.08088235,70,91,115
145,122,2020,122_6,0,0,0,1065.077042,73.17518248,61,90,112
146,122,2021,122_6,0,0,0,1065.077042,73.17518248,70,91,115
147,122,2020,122_7,0,0,0,1010.323947,84.26470588,61,90,112
148,122,2021,122_7,0,0,0,1010.323947,84.26470588,70,91,115
149,122,2020,122_8,0,0,0,910.0104949,82.20588235,61,90,112
150,122,2021,122_8,0,0,0,910.0104949,82.20588235,70,91,115
151,122,2020,122_9,0,0,0,851.7841846,81.41304348,61,90,112
152,122,2021,122_9,0,0,0,851.7841846,81.41304348,70,91,115
153,123,2020,123_1,0,0,0,673.6837381,63.79562044,66,92,113
154,123,2021,123_1,0,0,0,673.6837381,63.79562044,83,94,118
155,123,2020,123_10,0,0,0,665.7021623,78.52941176,66,92,113
156,123,2021,123_10,0,0,0,665.7021623,78.52941176,83,94,118
157,123,2020,123_11,0,0,0,683.9841277,82.62773723,66,92,113
158,123,2021,123_11,0,0,0,683.9841277,82.62773723,83,94,118
159,123,2020,123_12,0,0,0,697.2164458,84.7080292,66,92,113
160,123,2021,123_12,0,0,0,697.2164458,84.7080292,83,94,118
161,123,2020,123_13,0,0,0,764.6110477,84.42028986,66,92,113
162,123,2021,123_13,0,0,0,764.6110477,84.42028986,83,94,118
163,123,2020,123_2,0,0,0,696.3206909,76.62962963,66,92,113
164,123,2021,123_2,0,0,0,696.3206909,76.62962963,83,94,118
165,123,2020,123_3,0,0,0,657.0724305,51.16788321,66,92,113
166,123,2021,123_3,0,0,0,657.0724305,51.16788321,83,94,118
167,123,2020,123_4,0,0,0,635.6737216,62.62773723,66,92,113
168,123,2021,123_4,0,0,0,635.6737216,62.62773723,83,94,118
169,123,2020,123_5,0,0,0,627.5889036,30.03597122,66,92,113
170,123,2021,123_5,0,0,0,627.5889036,30.03597122,83,94,118
171,123,2020,123_6,0,0,0,605.8082754,20.71942446,66,92,113
172,123,2021,123_6,0,0,0,605.8082754,20.71942446,83,94,118
173,123,2020,123_7,0,0,0,616.0122689,26.82142857,66,92,113
174,123,2021,123_7,0,0,0,616.0122689,26.82142857,83,94,118
175,123,2020,123_8,0,0,0,629.8214248,45.50724638,66,92,113
176,123,2021,123_8,0,0,0,629.8214248,45.50724638,83,94,118
177,123,2020,123_9,0,0,0,635.2067889,49.25925926,66,92,113
178,123,2021,123_9,0,0,0,635.2067889,49.25925926,83,94,118
179,130,2020,130_1,0,0,0,547.5709148,33.34558824,84,105,126
180,130,2021,130_1,0,0,0,547.5709148,33.34558824,67,92,106
181,130,2020,130_10,0,0,0,629.4003211,71.69117647,93,105,126
182,130,2021,130_10,0,0,0,629.4003211,71.69117647,67,92,106
183,130,2020,130_11,0,0,0,551.5767526,72.51851852,105,126,NA
184,130,2021,130_11,0,0,0,551.5767526,72.51851852,67,92,106
185,130,2020,130_12,0,0,0,506.9043112,48.91304348,105,126,NA
186,130,2021,130_12,0,0,0,506.9043112,48.91304348,92,106,NA
187,130,2020,130_2,0,0,0,558.1871037,69.35714286,84,105,126
188,130,2021,130_2,0,0,0,558.1871037,69.35714286,67,92,106
189,130,2020,130_3,0,0,0,542.8036231,32.01438849,84,105,126
